Running training with line graph partitions
Simulated graph file doesn't exist, generating file...
Generating graphs...
Graphs generated
Generating line graphs...
269/1000 done, time: 9.724065780639648, etr: 7127.740217208862
270/1000 done, time: 9.670530796051025, etr: 7078.828542709351
271/1000 done, time: 9.663663148880005, etr: 7064.137761831284
272/1000 done, time: 9.715044498443604, etr: 7091.982483863831
273/1000 done, time: 9.720787048339844, etr: 7086.453758239746
274/1000 done, time: 9.756866693496704, etr: 7102.998952865601
275/1000 done, time: 9.77287220954895, etr: 7104.878096342087
276/1000 done, time: 9.747590065002441, etr: 7076.7503871917725
277/1000 done, time: 9.586756229400635, etr: 6950.39826631546
278/1000 done, time: 9.77890419960022, etr: 7079.926640510559
279/1000 done, time: 9.707025289535522, etr: 7018.179284334183
280/1000 done, time: 9.759917259216309, etr: 7046.660261154175
281/1000 done, time: 9.650629997253418, etr: 6958.104228019714
282/1000 done, time: 9.673496007919312, etr: 6964.917125701904
283/1000 done, time: 9.719054698944092, etr: 6988.000328540802
284/1000 done, time: 9.720204591751099, etr: 6979.106896877289
285/1000 done, time: 9.647958040237427, etr: 6917.585914850235
286/1000 done, time: 9.766473531723022, etr: 6992.795048713684
287/1000 done, time: 9.78397250175476, etr: 6995.540338754654
288/1000 done, time: 9.721105098724365, etr: 6940.869040489197
289/1000 done, time: 9.629502534866333, etr: 6865.835307359695
290/1000 done, time: 9.594270467758179, etr: 6831.120573043823
291/1000 done, time: 9.584453105926514, etr: 6814.546158313751
292/1000 done, time: 9.594801664352417, etr: 6812.309181690216
293/1000 done, time: 9.711583614349365, etr: 6885.5127825737
294/1000 done, time: 9.695439338684082, etr: 6864.37105178833
295/1000 done, time: 9.600536584854126, etr: 6787.579365491867
296/1000 done, time: 9.779305696487427, etr: 6904.189821720123
297/1000 done, time: 9.640252828598022, etr: 6796.378244161606
298/1000 done, time: 9.680492877960205, etr: 6815.066986083984
299/1000 done, time: 9.582085847854614, etr: 6736.206351041794
300/1000 done, time: 9.571783542633057, etr: 6719.392046928406
301/1000 done, time: 9.824692249298096, etr: 6887.109266757965
302/1000 done, time: 9.862615823745728, etr: 6903.831076622009
303/1000 done, time: 9.650703191757202, etr: 6745.841531038284
304/1000 done, time: 9.721095561981201, etr: 6785.324702262878
305/1000 done, time: 9.584920883178711, etr: 6680.6898555755615
306/1000 done, time: 9.84114408493042, etr: 6849.436283111572
307/1000 done, time: 9.79066777229309, etr: 6804.514101743698
308/1000 done, time: 9.586950063705444, etr: 6653.343344211578
309/1000 done, time: 9.682801485061646, etr: 6710.18142914772
310/1000 done, time: 9.596873760223389, etr: 6641.036642074585
311/1000 done, time: 9.652729034423828, etr: 6670.035762786865
312/1000 done, time: 9.656776189804077, etr: 6663.175570964813
313/1000 done, time: 9.684309720993042, etr: 6672.489397764206
314/1000 done, time: 9.626404762268066, etr: 6622.96647644043
315/1000 done, time: 9.613318681716919, etr: 6604.349934339523
316/1000 done, time: 9.702814102172852, etr: 6656.130474090576
317/1000 done, time: 9.613648414611816, etr: 6585.349164009094
318/1000 done, time: 9.752946853637695, etr: 6671.015647888184
319/1000 done, time: 9.612577438354492, etr: 6565.390390396118
320/1000 done, time: 9.852538585662842, etr: 6719.431315422058
321/1000 done, time: 9.627176761627197, etr: 6556.107374668121
322/1000 done, time: 9.60604214668274, etr: 6532.108659744263
323/1000 done, time: 9.553021430969238, etr: 6486.501551628113
324/1000 done, time: 9.574389219284058, etr: 6491.435890674591
325/1000 done, time: 9.706583976745605, etr: 6571.357352256775
326/1000 done, time: 9.757808208465576, etr: 6596.2783489227295
327/1000 done, time: 9.70638394355774, etr: 6551.809161901474
328/1000 done, time: 9.565292119979858, etr: 6447.006888866425
329/1000 done, time: 9.640013694763184, etr: 6487.729216575623
330/1000 done, time: 9.686406373977661, etr: 6509.265083312988
331/1000 done, time: 9.71118974685669, etr: 6516.208320140839
332/1000 done, time: 9.664401769638062, etr: 6475.149185657501
333/1000 done, time: 9.835449695587158, etr: 6579.915846347809
